date,weekday,hour,price_eur_mwh,price_eur_kwh,cloud_bcn,temp_bcn,cloud_mad,temp_mad,cloud_sev,temp_sev
2026-08-19,2,0,222.77,0.22277,,,,,,
2026-08-19,2,1,200.99,0.20099,,,,,,
2026-08-19,2,2,195.16,0.19516,,,,,,
2026-08-19,2,3,199.85,0.19985,,,,,,
2026-08-19,2,4,194.08,0.19408,,,,,,
2026-08-19,2,5,181.42,0.18142,,,,,,
2026-08-19,2,6,202.86,0.20286,,,,,,
2026-08-19,2,7,215.78,0.21578,,,,,,
2026-08-19,2,8,238.91,0.23891,,,,,,
2026-08-19,2,9,204.17,0.20417,,,,,,
2026-08-19,2,10,192.24,0.19224,,,,,,
2026-08-19,2,11,114.08,0.11408,,,,,,
2026-08-19,2,12,95.08,0.09508,,,,,,
2026-08-19,2,13,95.27,0.09527,,,,,,
2026-08-19,2,14,26.00,0.02600,,,,,,
2026-08-19,2,15,24.64,0.02464,,,,,,
2026-08-19,2,16,26.66,0.02666,,,,,,
2026-08-19,2,17,75.50,0.07550,,,,,,
2026-08-19,2,18,205.21,0.20521,,,,,,
2026-08-19,2,19,276.32,0.27632,,,,,,
2026-08-19,2,20,329.08,0.32908,,,,,,
2026-08-19,2,21,330.22,0.33022,,,,,,
2026-08-19,2,22,250.39,0.25039,,,,,,
2026-08-19,2,23,239.58,0.23958,,,,,,
2026-08-20,3,0,205.19,0.20519,,,,,,
2026-08-20,3,1,191.29,0.19129,,,,,,
2026-08-20,3,2,194.18,0.19418,,,,,,
2026-08-20,3,3,168.49,0.16849,,,,,,
2026-08-20,3,4,163.98,0.16398,,,,,,
2026-08-20,3,5,167.06,0.16706,,,,,,
2026-08-20,3,6,189.87,0.18987,,,,,,
2026-08-20,3,7,212.15,0.21215,,,,,,
2026-08-20,3,8,224.86,0.22486,,,,,,
2026-08-20,3,9,195.32,0.19532,,,,,,
2026-08-20,3,10,223.40,0.22340,,,,,,
2026-08-20,3,11,178.18,0.17818,,,,,,
2026-08-20,3,12,145.34,0.14534,,,,,,
2026-08-20,3,13,144.62,0.14462,,,,,,
2026-08-20,3,14,93.55,0.09355,,,,,,
2026-08-20,3,15,88.29,0.08829,,,,,,
2026-08-20,3,16,102.24,0.10224,,,,,,
2026-08-20,3,17,119.74,0.11974,,,,,,
2026-08-20,3,18,210.45,0.21045,,,,,,
2026-08-20,3,19,267.37,0.26737,,,,,,
2026-08-20,3,20,303.86,0.30386,,,,,,
2026-08-20,3,21,320.01,0.32001,,,,,,
2026-08-20,3,22,242.38,0.24238,,,,,,
2026-08-20,3,23,225.30,0.22530,,,,,,
2026-08-21,4,0,220.66,0.22066,,,,,,
2026-08-21,4,1,193.41,0.19341,,,,,,
2026-08-21,4,2,188.80,0.18880,,,,,,
2026-08-21,4,3,178.10,0.17810,,,,,,
2026-08-21,4,4,173.65,0.17365,,,,,,
2026-08-21,4,5,183.31,0.18331,,,,,,
2026-08-21,4,6,213.95,0.21395,,,,,,
2026-08-21,4,7,235.03,0.23503,,,,,,
2026-08-21,4,8,253.14,0.25314,,,,,,
2026-08-21,4,9,156.17,0.15617,,,,,,
2026-08-21,4,10,151.27,0.15127,,,,,,
2026-08-21,4,11,107.88,0.10788,,,,,,
2026-08-21,4,12,106.26,0.10626,,,,,,
2026-08-21,4,13,105.51,0.10551,,,,,,
2026-08-21,4,14,36.31,0.03631,,,,,,
2026-08-21,4,15,35.03,0.03503,,,,,,
2026-08-21,4,16,36.69,0.03669,,,,,,
2026-08-21,4,17,51.02,0.05102,,,,,,
2026-08-21,4,18,193.95,0.19395,,,,,,
2026-08-21,4,19,277.83,0.27783,,,,,,
2026-08-21,4,20,326.80,0.32680,,,,,,
2026-08-21,4,21,339.70,0.33970,,,,,,
2026-08-21,4,22,261.04,0.26104,,,,,,
2026-08-21,4,23,240.90,0.24090,,,,,,
2026-08-22,5,0,206.29,0.20629,81,25.1,58,24.9,0,22.2
2026-08-22,5,1,198.81,0.19881,84,25.2,56,24.2,0,21.3
2026-08-22,5,2,200.93,0.20093,70,25.0,48,23.2,15,20.9
2026-08-22,5,3,197.87,0.19787,60,24.6,30,21.1,3,20.3
2026-08-22,5,4,196.02,0.19602,82,24.2,62,20.5,8,19.9
2026-08-22,5,5,200.49,0.20049,94,23.9,73,19.8,10,19.1
2026-08-22,5,6,214.54,0.21454,98,23.8,71,19.6,0,18.7
2026-08-22,5,7,237.58,0.23758,96,23.7,73,19.6,0,18.3
2026-08-22,5,8,194.17,0.19417,92,23.7,71,19.6,0,18.0
2026-08-22,5,9,94.91,0.09491,82,23.9,67,20.3,1,18.9
2026-08-22,5,10,26.70,0.02670,65,24.5,68,21.9,8,21.0
2026-08-22,5,11,23.33,0.02333,60,25.5,56,23.9,25,23.2
